"BCL11B","DNM2","DNMT3A","ECT2L","EP300","ETV6","FAT1","FAT3","FBXW7","GATA3","IL7R","JAK1","JAK3","KMT2C","KRAS","MSH2","NOTCH1","NRAS","PHF6","PTEN","RPL5","RUNX1","U2AF1"
"SRR3162219",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0
"SRR3162221",0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0
"SRR3162223",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"SRR3162229",1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"SRR3162230",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"SRR3162258",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"SRR3162266",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0
"SRR3162279",1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0
"SRR3162314",0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
"SRR3162315",1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"SRR3162224",0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
"SRR3162228",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"SRR3162232",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0
"SRR3162317",0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"SRR3162320",1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
"SRR3162321",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
"SRR3162322",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"SRR3162324",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"SRR3162335",0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0
"SRR3162338",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
"SRR3162237",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0
"SRR3162243",0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0
"SRR3162245",1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,1,0
"SRR3162246",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
"SRR3162250",0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
"SRR3162252",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0
"SRR3162255",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
"SRR3162261",1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
"SRR3162262",0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0
"SRR3162265",1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0
"SRR3162267",1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1
"SRR3162268",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"SRR3162286",0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"SRR3162299",0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
"SRR3162301",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
"SRR3162311",1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
"SRR3162313",0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1
"SRR3162318",0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0
"SRR3162334",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"SRR3162342",0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0
"SRR3162346",1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0
"SRR3162348",0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
"SRR3162132",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
"SRR3162150",0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
"SRR3162157",1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0
"SRR3162169",1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0
"SRR3162171",0,0,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0
"SRR3162180",0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
"SRR3162181",0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
"SRR3162183",0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0
"SRR3162213",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"SRR3162215",0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0
"SRR3162129",0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0
"SRR3162135",1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"SRR3162138",0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
"SRR3162144",0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"SRR3162351",0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0
"SRR3162357",0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0
"SRR3162370",0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0
"SRR3162379",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0
"SRR3162380",0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"SRR3162386",0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0
"SRR3162390",1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
"SRR3162158",1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0
"SRR3162164",0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0
"SRR3162174",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
